"testtype","mincriterion","minsplit","minbucket","maxdepth","N1","N0","Time","Term","N","err","idx","err_all","min_idx","real_error"
"Teststatistic",0.99,40,5,0,718,155,16.405,2410,98,0.1775,63,0.1493,61,
"Teststatistic",0.9,20,5,5,717,156,15.873,1851,98,0.1787,64,0.1627,18,
"Bonferroni",0.9,10,5,4,731,160,11.682,611,100,0.1796,65,0.1762,52,
"Bonferroni",0.9,20,5,4,731,160,11.747,611,100,0.1796,66,0.1762,52,
"Bonferroni",0.9,40,5,4,731,160,11.082,608,100,0.1796,67,0.1762,52,
"Bonferroni",0.9,60,5,4,731,160,11.561,608,100,0.1796,68,0.1762,52,
"Bonferroni",0.95,10,5,4,731,160,12.153,583,100,0.1796,69,0.1762,52,0.215
"Bonferroni",0.95,20,5,4,731,160,12.071,583,100,0.1796,70,0.1762,52,
"Bonferroni",0.95,40,5,4,731,160,11.008,580,100,0.1796,71,0.1762,52,
"Bonferroni",0.95,60,5,4,731,160,11.172,580,100,0.1796,72,0.1762,52,
"Bonferroni",0.99,10,5,0,731,160,11.142,504,100,0.1796,73,0.1762,52,
"Bonferroni",0.99,10,5,4,731,160,11.073,504,100,0.1796,74,0.1762,52,
"Bonferroni",0.99,10,5,5,731,160,11.219,504,100,0.1796,75,0.1762,52,
"Bonferroni",0.99,10,5,6,731,160,11.48,504,100,0.1796,76,0.1762,52,
"Bonferroni",0.99,20,5,0,731,160,11.288,504,100,0.1796,77,0.1762,52,
"Bonferroni",0.99,20,5,4,731,160,11.668,504,100,0.1796,78,0.1762,52,
"Bonferroni",0.99,20,5,5,731,160,11.625,504,100,0.1796,79,0.1762,52,
"Bonferroni",0.99,20,5,6,731,160,11.448,504,100,0.1796,80,0.1762,52,
"Bonferroni",0.99,40,5,0,731,160,11.348,504,100,0.1796,81,0.1762,52,
"Bonferroni",0.99,40,5,4,731,160,11.38,504,100,0.1796,82,0.1762,52,
"Bonferroni",0.99,40,5,5,731,160,11.383,504,100,0.1796,83,0.1762,52,
"Bonferroni",0.99,40,5,6,731,160,11.616,504,100,0.1796,84,0.1762,52,
"Bonferroni",0.99,60,5,0,731,160,11.872,504,100,0.1796,85,0.1762,52,
"Bonferroni",0.99,60,5,4,731,160,11.355,504,100,0.1796,86,0.1762,52,
"Bonferroni",0.99,60,5,5,731,160,11.111,504,100,0.1796,87,0.1762,52,
"Bonferroni",0.99,60,5,6,731,160,11.483,504,100,0.1796,88,0.1762,52,
"Univariate",0.99,10,5,4,731,160,11.941,611,100,0.1796,89,0.1762,52,
"Univariate",0.99,20,5,4,731,160,11.616,611,100,0.1796,90,0.1762,52,
"Univariate",0.99,40,5,4,731,160,11.72,608,100,0.1796,91,0.1762,52,
"Univariate",0.99,60,5,4,731,160,11.488,608,100,0.1796,92,0.1762,52,
"Teststatistic",0.9,40,5,5,716,157,15.479,1732,98,0.1798,93,0.1627,18,
"Teststatistic",0.9,60,5,0,716,157,15.26,2081,98,0.1798,94,0.1526,94,0.239
