"testtype","mincriterion","minsplit","minbucket","maxdepth","N1","N0","Time","Term","N","err","idx","err_all","min_idx","real_error"
"Bonferroni",0.9,60,5,6,716,175,11.428,670,100,0.1964,306,0.165,1,
"Univariate",0.99,10,5,0,716,175,11.697,668,100,0.1964,307,0.165,1,
"Univariate",0.99,10,5,5,716,175,11.844,668,100,0.1964,308,0.165,1,
"Univariate",0.99,10,5,6,716,175,11.786,668,100,0.1964,309,0.165,1,
"Univariate",0.99,20,5,0,716,175,11.643,668,100,0.1964,310,0.165,1,
"Univariate",0.99,20,5,5,716,175,12.499,668,100,0.1964,311,0.165,1,
"Univariate",0.99,20,5,6,716,175,11.495,668,100,0.1964,312,0.165,1,
"Univariate",0.99,40,5,0,716,175,11.805,665,100,0.1964,313,0.165,1,
"Univariate",0.99,40,5,5,716,175,12.23,665,100,0.1964,314,0.165,1,
"Univariate",0.99,40,5,6,716,175,11.997,665,100,0.1964,315,0.165,1,
"Univariate",0.99,60,5,0,716,175,11.18,665,100,0.1964,316,0.165,1,
"Univariate",0.99,60,5,5,716,175,11.484,665,100,0.1964,317,0.165,1,
"Univariate",0.99,60,5,6,716,175,11.886,665,100,0.1964,318,0.165,1,
"Univariate",0.9,40,20,0,715,176,12.67,909,100,0.1975,319,0.1751,287,
"Univariate",0.9,40,20,5,715,176,12.823,909,100,0.1975,320,0.1751,287,
"Univariate",0.9,40,20,6,715,176,12.767,909,100,0.1975,321,0.1751,287,
"Univariate",0.9,40,30,0,715,176,12.544,816,100,0.1975,322,0.1751,287,
"Univariate",0.9,40,30,5,715,176,13.085,816,100,0.1975,323,0.1751,287,
"Univariate",0.9,40,30,6,715,176,12.145,816,100,0.1975,324,0.1751,287,
"Univariate",0.9,60,20,0,715,176,12.236,819,100,0.1975,325,0.1751,287,
"Univariate",0.9,60,20,5,715,176,12.742,819,100,0.1975,326,0.1751,287,
"Univariate",0.9,60,20,6,715,176,12.471,819,100,0.1975,327,0.1751,287,
"Univariate",0.9,60,30,0,715,176,13.065,816,100,0.1975,328,0.1751,287,
"Univariate",0.9,60,30,5,715,176,12.743,816,100,0.1975,329,0.1751,287,
"Univariate",0.9,60,30,6,715,176,12.67,816,100,0.1975,330,0.1751,287,
"Univariate",0.95,40,20,0,713,178,11.939,658,100,0.1998,331,0.1751,287,
"Univariate",0.95,40,20,5,713,178,12.069,658,100,0.1998,332,0.1751,287,
"Univariate",0.95,40,20,6,713,178,11.866,658,100,0.1998,333,0.1751,287,
"Univariate",0.95,40,30,0,713,178,11.863,657,100,0.1998,334,0.1751,287,
"Univariate",0.95,40,30,5,713,178,11.537,657,100,0.1998,335,0.1751,287,
"Univariate",0.95,40,30,6,713,178,11.738,657,100,0.1998,336,0.1751,287,
"Univariate",0.95,60,20,0,713,178,11.799,658,100,0.1998,337,0.1751,287,
"Univariate",0.95,60,20,5,713,178,11.396,658,100,0.1998,338,0.1751,287,
"Univariate",0.95,60,20,6,713,178,12.089,658,100,0.1998,339,0.1751,287,
"Univariate",0.95,60,30,0,713,178,12.058,657,100,0.1998,340,0.1751,287,
"Univariate",0.95,60,30,5,713,178,12.006,657,100,0.1998,341,0.1751,287,
"Univariate",0.95,60,30,6,713,178,11.952,657,100,0.1998,342,0.1751,287,
"Univariate",0.99,20,10,0,713,178,11.965,657,100,0.1998,343,0.165,1,
"Univariate",0.99,20,10,5,713,178,11.644,657,100,0.1998,344,0.165,1,
"Univariate",0.99,20,10,6,713,178,11.531,657,100,0.1998,345,0.165,1,
"Univariate",0.99,40,10,0,713,178,11.445,654,100,0.1998,346,0.165,1,
"Univariate",0.99,40,10,5,713,178,11.549,654,100,0.1998,347,0.165,1,
"Univariate",0.99,40,10,6,713,178,11.9,654,100,0.1998,348,0.165,1,
"Univariate",0.99,60,10,0,713,178,11.369,654,100,0.1998,349,0.165,1,
"Univariate",0.99,60,10,5,713,178,11.266,654,100,0.1998,350,0.165,1,
"Univariate",0.99,60,10,6,713,178,11.784,654,100,0.1998,351,0.165,1,
"Bonferroni",0.9,20,10,0,710,181,12.078,664,100,0.2031,352,0.165,1,
"Bonferroni",0.9,20,10,5,710,181,11.896,664,100,0.2031,353,0.165,1,
"Bonferroni",0.9,20,10,6,710,181,12.497,664,100,0.2031,354,0.165,1,
"Bonferroni",0.9,40,10,0,710,181,11.65,661,100,0.2031,355,0.165,1,
"Bonferroni",0.9,40,10,5,710,181,11.799,661,100,0.2031,356,0.165,1,
"Bonferroni",0.9,40,10,6,710,181,12.11,661,100,0.2031,357,0.165,1,
"Bonferroni",0.9,60,10,0,710,181,12.451,661,100,0.2031,358,0.165,1,
"Bonferroni",0.9,60,10,5,710,181,12.107,661,100,0.2031,359,0.165,1,
"Bonferroni",0.9,60,10,6,710,181,12.211,661,100,0.2031,360,0.165,1,
"Univariate",0.9,40,20,4,709,182,13.044,888,100,0.2043,361,0.1751,287,
"Univariate",0.9,40,30,4,709,182,12.564,796,100,0.2043,362,0.1751,287,
"Univariate",0.9,60,20,4,709,182,12.225,798,100,0.2043,363,0.1751,287,
"Univariate",0.9,60,30,4,709,182,12.612,796,100,0.2043,364,0.1751,287,
"Univariate",0.95,40,20,4,709,182,12.413,639,100,0.2043,365,0.1751,287,
"Univariate",0.95,40,30,4,709,182,11.755,638,100,0.2043,366,0.1751,287,
"Univariate",0.95,60,20,4,709,182,11.981,639,100,0.2043,367,0.1751,287,
"Univariate",0.95,60,30,4,709,182,11.863,638,100,0.2043,368,0.1751,287,
"Teststatistic",0.9,40,20,0,694,179,15.284,1819,98,0.205,369,0.1627,18,
"Teststatistic",0.9,40,20,6,694,179,15.349,1815,98,0.205,370,0.1627,18,
"Teststatistic",0.9,60,20,0,694,179,14.203,1650,98,0.205,371,0.1627,18,
"Teststatistic",0.9,60,20,6,694,179,14.219,1646,98,0.205,372,0.1627,18,
"Teststatistic",0.95,40,20,0,694,179,15.51,1819,98,0.205,373,0.1627,18,
"Teststatistic",0.95,40,20,6,694,179,15.731,1815,98,0.205,374,0.1627,18,
"Teststatistic",0.95,60,20,0,694,179,13.685,1650,98,0.205,375,0.1627,18,
"Teststatistic",0.95,60,20,6,694,179,14.341,1646,98,0.205,376,0.1627,18,
"Teststatistic",0.99,40,20,0,694,179,15.909,1818,98,0.205,377,0.1627,18,
"Teststatistic",0.99,40,20,6,694,179,16.191,1815,98,0.205,378,0.1627,18,
"Teststatistic",0.99,60,20,0,694,179,14.209,1649,98,0.205,379,0.1627,18,
"Teststatistic",0.99,60,20,6,694,179,14.318,1646,98,0.205,380,0.1627,18,
"Bonferroni",0.9,40,20,0,703,188,11.071,532,100,0.211,381,0.1762,52,
"Bonferroni",0.9,40,20,4,703,188,11.419,532,100,0.211,382,0.1762,52,
"Bonferroni",0.9,40,20,5,703,188,11.422,532,100,0.211,383,0.1762,52,
"Bonferroni",0.9,40,20,6,703,188,11.651,532,100,0.211,384,0.1762,52,
"Bonferroni",0.9,40,30,0,703,188,11.922,531,100,0.211,385,0.1762,52,
"Bonferroni",0.9,40,30,4,703,188,12.002,531,100,0.211,386,0.1762,52,
"Bonferroni",0.9,40,30,5,703,188,10.799,531,100,0.211,387,0.1762,52,
"Bonferroni",0.9,40,30,6,703,188,11.529,531,100,0.211,388,0.1762,52,
"Bonferroni",0.9,60,20,0,703,188,11.895,532,100,0.211,389,0.1762,52,
"Bonferroni",0.9,60,20,4,703,188,11.446,532,100,0.211,390,0.1762,52,
"Bonferroni",0.9,60,20,5,703,188,10.914,532,100,0.211,391,0.1762,52,
"Bonferroni",0.9,60,20,6,703,188,11.634,532,100,0.211,392,0.1762,52,
"Bonferroni",0.9,60,30,0,703,188,11.711,531,100,0.211,393,0.1762,52,
"Bonferroni",0.9,60,30,4,703,188,11.132,531,100,0.211,394,0.1762,52,
"Bonferroni",0.9,60,30,5,703,188,11.716,531,100,0.211,395,0.1762,52,
"Bonferroni",0.9,60,30,6,703,188,11.632,531,100,0.211,396,0.1762,52,
