"kernel","C","p1","p2","error","cross","numSV","obj_f","time.elapsed","real_error"
"tanhdot",1,0.001,1.2,0.384,0.383,685,-673.229,9.444,
"tanhdot",0.1,0.01,-0.6,0.384,0.383,685,-65.745,14.332,
"tanhdot",100,0.00001,2.4,0.384,0.383,684,-68284.186,13.943,
"tanhdot",1,0.0001,-0.6,0.384,0.383,685,-681.465,10.671,
"tanhdot",0.1,0.0001,-2.4,0.384,0.383,684,-68.399,13.968,
"tanhdot",100000,1,-1.8,0.38,0.383,358,-52159715434202.7,7.966,
"tanhdot",0.01,0.001,-1.8,0.384,0.383,684,-6.84,10.14,
"tanhdot",0.1,0.0001,0,0.384,0.383,684,-68.364,12.634,
"tanhdot",0.01,0.0001,-1.8,0.384,0.383,684,-6.84,13.284,
"tanhdot",0.01,0.001,1.8,0.384,0.383,684,-6.84,9.587,
"tanhdot",0.1,0.1,-2.4,0.384,0.383,687,-65.827,13.384,
"tanhdot",0.01,0.00001,1.2,0.384,0.383,684,-6.84,13.301,
"tanhdot",0.01,0.1,1.8,0.384,0.383,684,-6.822,9.896,
"tanhdot",1,0.001,1.8,0.384,0.383,685,-680.345,8.958,
"tanhdot",100,0.00001,1.8,0.384,0.383,685,-68032.504,9.375,
"tanhdot",100,0.0001,-1.8,0.384,0.383,685,-64713.719,13.679,
"rbfdot",0.01,0.00001,,0.384,0.383,684,-6.84,13.006,
"rbfdot",0.01,0.1,,0.384,0.384,687,-6.49,13.536,
"tanhdot",10,0.00001,2.4,0.384,0.384,684,-6838.786,9.09,
"tanhdot",0.1,0.00001,0.6,0.384,0.384,684,-68.397,9.673,
"tanhdot",0.1,0.0001,-1.8,0.384,0.384,684,-68.396,14.211,
"tanhdot",100,0.00001,-1.2,0.384,0.384,685,-67316.054,12.14,
"tanhdot",0.01,0.00001,0.6,0.384,0.384,684,-6.84,13.347,
"tanhdot",0.1,0.0001,1.2,0.384,0.384,684,-68.389,13.213,
"tanhdot",0.1,0.001,0,0.384,0.384,685,-68.044,8.771,
"tanhdot",0.1,0.0001,2.4,0.384,0.384,684,-68.399,9.613,
"tanhdot",0.01,0.01,1.8,0.384,0.384,684,-6.837,13.658,
"tanhdot",1000,0.00001,1.8,0.384,0.384,686,-647263.764,13.871,
"rbfdot",0.1,0.0001,,0.384,0.384,684,-68.329,12.668,
"tanhdot",0.01,0.1,0,0.384,0.384,687,-6.56,12.824,
"tanhdot",10,0.0001,0,0.384,0.384,686,-6484.091,9.235,
"tanhdot",1,0.00001,-1.8,0.384,0.384,684,-683.958,12.902,
"tanhdot",1,0.001,-2.4,0.384,0.384,684,-682.835,9.93,
"tanhdot",10,0.0001,0.6,0.384,0.384,687,-6586.872,13.954,
"tanhdot",0.01,0.01,1.2,0.384,0.384,684,-6.83,13.537,
"tanhdot",0.1,0.01,1.2,0.384,0.384,685,-67.395,9.744,
"tanhdot",0.1,0.00001,1.8,0.384,0.384,684,-68.4,9.864,
"tanhdot",100,0.0001,1.8,0.384,0.384,686,-64716.897,9.98,
"tanhdot",0.01,0.0001,-0.6,0.384,0.384,684,-6.84,12.904,
"rbfdot",0.1,0.00001,,0.384,0.384,684,-68.392,8.623,
"tanhdot",1,0.00001,-0.6,0.384,0.384,684,-683.742,13.254,
"tanhdot",1,0.00001,-1.2,0.384,0.384,684,-683.886,9.202,
"tanhdot",100,0.00001,0,0.384,0.384,687,-64840.906,10.38,
"tanhdot",100,0.00001,-2.4,0.384,0.384,684,-68284.258,13.905,
"tanhdot",0.1,0.001,-1.2,0.384,0.384,684,-68.29,13.989,
"tanhdot",10,0.0001,-1.8,0.384,0.384,686,-6803.125,13.735,
"tanhdot",0.1,0.001,-0.6,0.384,0.384,684,-68.145,13.485,
"tanhdot",1000,0.00001,2.4,0.384,0.384,685,-672431.345,13.709,
"tanhdot",0.01,0.1,0.6,0.384,0.384,684,-6.693,13.502,
"tanhdot",0.1,0.01,-1.8,0.384,0.384,686,-67.997,13.555,
"tanhdot",0.01,0.001,-1.2,0.384,0.384,684,-6.839,13.687,
"tanhdot",0.1,0.00001,-1.8,0.384,0.384,684,-68.4,9.125,
"tanhdot",0.01,0.001,0.6,0.384,0.384,684,-6.837,12.66,
"tanhdot",1000,0.00001,-1.8,0.384,0.384,686,-647289.914,13.479,
"tanhdot",10,0.00001,-1.2,0.384,0.384,685,-6829.145,12.853,
"tanhdot",0.01,0.1,-0.6,0.384,0.384,686,-6.536,8.933,
"tanhdot",0.01,0.0001,1.8,0.384,0.384,684,-6.84,11.857,
"tanhdot",0.01,0.001,1.2,0.384,0.384,684,-6.839,12.183,
"tanhdot",0.1,0.00001,2.4,0.384,0.384,684,-68.4,13.931,
"rbfdot",0.01,0.0001,,0.384,0.384,684,-6.839,11.156,
"tanhdot",1,0.001,-0.6,0.384,0.384,685,-658.546,9.366,
"tanhdot",1,0.00001,0.6,0.384,0.384,684,-683.741,9.115,
"tanhdot",10,0.0001,1.2,0.384,0.384,685,-6731.499,13.847,
"tanhdot",10,0.0001,-2.4,0.384,0.384,685,-6828.458,14.301,
"tanhdot",0.01,0.01,2.4,0.384,0.384,684,-6.839,14.086,
"tanhdot",1,0.0001,2.4,0.384,0.384,684,-683.88,9.419,
"rbfdot",0.01,0.01,,0.384,0.384,684,-6.773,13.156,
"rbfdot",10,0.00001,,0.384,0.384,686,-6768.818,12.476,
"tanhdot",10,0.0001,-0.6,0.384,0.384,685,-6586.619,10.937,
"tanhdot",10,0.00001,-2.4,0.384,0.384,684,-6838.799,12.046,
"tanhdot",0.1,0.0001,-1.2,0.384,0.384,684,-68.389,13.431,
"tanhdot",0.01,0.0001,1.2,0.384,0.384,684,-6.84,13.198,
"tanhdot",0.01,1,1.2,0.384,0.384,684,-6.901,10.407,
"tanhdot",10,0.001,-1.8,0.384,0.384,685,-6468.116,12.887,
"tanhdot",10,0.00001,0.6,0.384,0.384,686,-6814.678,9.362,
"tanhdot",1,0.00001,1.2,0.384,0.384,684,-683.887,13.983,
"tanhdot",0.1,0.0001,1.8,0.384,0.384,684,-68.396,13.622,
"tanhdot",0.1,0.01,-2.4,0.384,0.384,684,-68.273,9.927,
"tanhdot",0.01,0.00001,1.8,0.384,0.384,684,-6.84,9.499,
"tanhdot",10,0.00001,1.8,0.384,0.384,684,-6836.236,13.925,
"tanhdot",10,0.00001,-1.8,0.384,0.384,684,-6836.241,12.308,
"tanhdot",1,0.0001,1.2,0.384,0.384,684,-682.912,10.853,
"tanhdot",0.1,0.01,-1.2,0.384,0.384,687,-67.227,9.58,
"rbfdot",0.1,0.001,,0.384,0.384,685,-67.692,10.213,
"tanhdot",0.01,0.01,-1.2,0.384,0.384,684,-6.828,9.602,
"tanhdot",1,0.01,1.8,0.384,0.384,685,-650.218,13.728,
"tanhdot",0.1,0.001,-2.4,0.384,0.384,684,-68.388,9.714,
"tanhdot",1,0.001,-1.8,0.384,0.384,684,-680.278,14.858,
"tanhdot",0.1,0.001,0.6,0.384,0.384,685,-68.148,13.905,
"rbfdot",1,0.0001,,0.384,0.384,685,-676.884,13.475,
"tanhdot",0.01,0.00001,-1.8,0.384,0.384,684,-6.84,10.568,
"tanhdot",0.01,0.1,2.4,0.384,0.384,684,-6.834,9.859,
"tanhdot",1,0.0001,1.8,0.384,0.384,684,-683.621,12.696,
"rbfdot",0.01,10,,0.384,0.384,684,-6.786,13.596,
"tanhdot",0.01,0.00001,-1.2,0.384,0.384,684,-6.84,9.265,
"tanhdot",0.01,1,2.4,0.384,0.384,684,-6.85,15.483,
"tanhdot",1000,0.00001,-2.4,0.384,0.384,685,-672449.933,13.515,
"tanhdot",0.01,0.0001,0,0.384,0.384,684,-6.84,12.217,
"tanhdot",0.1,0.1,1.8,0.384,0.384,684,-66.624,9.242,
"tanhdot",0.1,0.001,2.4,0.384,0.384,684,-68.388,13.249,
"tanhdot",10,0.0001,1.8,0.384,0.384,685,-6803.158,11.646,
"tanhdot",100,0.00001,-1.8,0.384,0.384,685,-68032.763,14.182,
"tanhdot",0.1,1,2.4,0.387,0.384,684,-69.455,15.147,
"tanhdot",0.01,0.01,-0.6,0.384,0.384,684,-6.813,13.673,
"tanhdot",0.1,0.00001,1.2,0.384,0.384,684,-68.399,13.251,
"tanhdot",1,0.00001,0,0.384,0.384,684,-683.638,12.322,
"tanhdot",0.1,0.001,1.2,0.384,0.384,684,-68.292,13.03,
"tanhdot",0.01,0.00001,0,0.384,0.384,684,-6.84,12.505,
"tanhdot",0.01,0.001,-0.6,0.384,0.384,684,-6.837,12.903,
"tanhdot",1,0.00001,-2.4,0.384,0.384,684,-683.987,12.882,
"tanhdot",0.01,0.1,-2.4,0.384,0.384,685,-6.814,13.756,
"tanhdot",100,0.0001,-2.4,0.384,0.384,685,-67247.068,13.247,
"tanhdot",10,0.00001,0,0.384,0.384,686,-6804.397,12.125,
"tanhdot",0.1,0.01,2.4,0.384,0.384,684,-68.295,13.173,
"tanhdot",1,0.001,0,0.384,0.384,687,-648.411,12.436,
"tanhdot",1,0.0001,0,0.384,0.384,685,-680.44,11.67,
"tanhdot",0.01,0.00001,2.4,0.384,0.384,684,-6.84,9.508,
"tanhdot",1,0.001,-1.2,0.384,0.385,685,-673.057,13.643,
"tanhdot",1,0.01,2.4,0.384,0.385,684,-673.467,10.367,
"tanhdot",10,0.0001,2.4,0.384,0.385,684,-6828.456,9.887,
"tanhdot",0.1,0.00001,-1.2,0.384,0.385,684,-68.399,13.086,
"tanhdot",0.01,0.00001,-0.6,0.384,0.385,684,-6.84,12.423,
"tanhdot",10,0.001,1.8,0.384,0.385,686,-6474.708,14.042,
"tanhdot",1,0.0001,-2.4,0.384,0.385,684,-683.879,9.556,
"tanhdot",10,0.0001,-1.2,0.384,0.385,685,-6731.33,10.041,
"tanhdot",0.01,0.01,-2.4,0.384,0.385,684,-6.839,9.58,
"tanhdot",0.01,0.01,0,0.384,0.385,684,-6.805,12.29,
"tanhdot",0.1,0.01,0.6,0.384,0.385,686,-65.997,13.417,
"tanhdot",1,0.01,-1.8,0.384,0.385,687,-643.691,9.751,
"tanhdot",0.01,1,1.8,0.384,0.385,684,-6.867,14.865,
"tanhdot",0.1,0.00001,-0.6,0.384,0.385,684,-68.397,9.623,
"tanhdot",1,0.0001,-1.2,0.384,0.385,685,-682.912,10.059,
"tanhdot",1,0.01,-2.4,0.384,0.385,687,-671.347,9.734,
"tanhdot",0.1,0.01,0,0.384,0.385,687,-64.858,8.811,
"tanhdot",0.01,0.0001,-2.4,0.384,0.385,684,-6.84,12.281,
"tanhdot",0.1,0.001,1.8,0.384,0.385,684,-68.363,9.796,
"tanhdot",1,0.00001,2.4,0.384,0.385,684,-683.987,13.412,
"tanhdot",0.01,10,1.8,0.385,0.385,678,-7.17,11.878,
"tanhdot",1,0.001,2.4,0.384,0.386,684,-682.857,10.313,
"tanhdot",10,1,-1.2,0.406,0.395,394,-607246.161,9.54,
"tanhdot",10,1,-1.8,0.469,0.397,424,-878211.808,10.915,
"tanhdot",1,1,-1.2,0.405,0.398,400,-6428.062,10.519,
"tanhdot",10,1,2.4,0.403,0.399,402,-59582.44,9.557,
"tanhdot",10000,1,-1.8,0.38,0.404,358,-521600368288.764,10.826,
"tanhdot",10000,1,2.4,0.405,0.405,376,-55709158319.662,8.886,
"tanhdot",1000,1,2.4,0.405,0.406,376,-557429983.197,7.112,
"tanhdot",100,1,-1.2,0.41,0.41,395,-60370017.776,10.65,
"tanhdot",100000,1,-1.2,0.412,0.411,385,-60331129258641.7,9.962,
"tanhdot",100,1,-0.6,0.413,0.411,370,-55321278.698,7.537,
"tanhdot",10000,1,-1.2,0.412,0.412,385,-603314748586.417,8.702,
"tanhdot",1000,1,-1.2,0.412,0.412,385,-6033493085.864,10.599,
"tanhdot",1000,1,-0.6,0.413,0.412,370,-5528797869.761,6.419,
"tanhdot",100000,1,-0.6,0.413,0.414,368,-55284325618780.4,9.301,
"tanhdot",10000,1,-0.6,0.413,0.414,368,-552846568187.802,9.443,
"tanhdot",1,1,-0.6,0.41,0.415,374,-5899.384,9.567,
"tanhdot",10,1,-0.6,0.41,0.415,370,-556542.787,10.253,
"tanhdot",1000,1,0,0.449,0.419,400,-4785290234.667,6.587,
"tanhdot",0.1,1,0.6,0.421,0.422,500,-80.584,9.133,
"tanhdot",10000,1,0,0.449,0.423,400,-478493023466.651,8.614,
"tanhdot",10,1,0,0.449,0.424,400,-482489.023,7.124,
"tanhdot",1,1,-1.8,0.464,0.425,424,-9163.718,12.616,
"tanhdot",0.1,1,0,0.428,0.429,450,-90.464,10.978,
"tanhdot",100,1,1.8,0.438,0.429,394,-11628798.933,10.332,
"tanhdot",1000,1,1.8,0.438,0.431,394,-1159333893.268,10.483,
"tanhdot",100000,1,0,0.414,0.431,370,-47422693422838.4,7.298,
"tanhdot",10,10,-1.8,0.437,0.434,406,-726563.57,6.45,
"tanhdot",1000,10,-1.2,0.434,0.434,400,-6862395977.323,8.007,
"tanhdot",10,1,1.8,0.451,0.434,422,-119994.45,8.295,
"tanhdot",100000,10,-1.2,0.434,0.435,400,-68619999773235.1,8.273,
"tanhdot",10000,1,1.8,0.438,0.436,394,-115897929326.805,9.73,
"tanhdot",10000,10,-1.2,0.434,0.436,400,-686203597732.349,8.572,
"tanhdot",100,10,-1.8,0.437,0.437,406,-72291164.012,9.311,
"tanhdot",10000,10,-1.8,0.437,0.438,406,-722509979242.279,8.797,
"tanhdot",100000,1,1.8,0.438,0.438,394,-11589438332680.5,9.802,
"tanhdot",1000,10,-1.8,0.437,0.439,406,-7225464934.463,8.838,
"tanhdot",100000,10,-1.8,0.437,0.44,406,-72250632782650.5,6.491,
"tanhdot",1000,10,-2.4,0.447,0.441,398,-7249524659.375,8.893,
"tanhdot",100000,10,-2.4,0.447,0.442,398,-72491306393746.9,8.374,
"tanhdot",1000,10,0,0.477,0.442,428,-6242912977.89,8.478,
"tanhdot",1,10,-1.8,0.437,0.442,422,-7636.111,8.412,
"tanhdot",10000,10,0,0.477,0.442,428,-624252777788.98,6.265,
"tanhdot",100,1,1.2,0.447,0.443,420,-21858871.603,7.862,
"tanhdot",100000,1,1.2,0.447,0.443,420,-21816913603056.8,9.132,
"tanhdot",10000,1,1.2,0.447,0.444,420,-218172916030.568,7.669,
"tanhdot",10000,10,-2.4,0.447,0.446,398,-724916645937.466,8.83,
"tanhdot",1,1,0,0.415,0.446,374,-5115.141,10.077,
"tanhdot",100,10,-2.4,0.447,0.447,398,-72531066.594,6.291,
"tanhdot",1,1,1.2,0.447,0.447,434,-2608.119,7.014,
"tanhdot",0.1,10,-2.4,0.456,0.447,474,-116.924,10.24,
"tanhdot",10,10,-2.4,0.446,0.449,398,-728892.666,6.072,
"tanhdot",10,1,0.6,0.448,0.45,408,-355593.698,7.611,
"tanhdot",1,10,-2.4,0.441,0.45,400,-7647.108,8.178,
"tanhdot",1000,1,0.6,0.449,0.452,406,-3515779434.016,8.473,
"tanhdot",1,1,1.8,0.449,0.452,456,-1598.528,7.477,
"tanhdot",1,1,0.6,0.453,0.452,421,-3929.167,10.248,
"tanhdot",10,1,1.2,0.447,0.452,420,-222368.716,6.666,
"tanhdot",100000,1,0.6,0.45,0.452,406,-35153787137168.8,9.895,
"tanhdot",0.1,10,0,0.453,0.453,472,-107.114,9.372,
"tanhdot",10000,10,-0.6,0.46,0.453,424,-653129316391.92,8.595,
"tanhdot",100000,10,-0.6,0.46,0.454,424,-65312550039192.1,9.095,
"tanhdot",100000,10,0,0.477,0.454,428,-62424892578898.1,8.353,
"tanhdot",1000,1,1.2,0.447,0.456,420,-2182107160.306,9.966,
"tanhdot",1000,10,-0.6,0.46,0.457,424,-6531674763.919,6.729,
"tanhdot",10,10,-0.6,0.455,0.457,416,-656620.823,8.662,
"tanhdot",0.1,10,-1.2,0.465,0.46,452,-112.731,6.54,
"tanhdot",0.1,10,0.6,0.658,0.461,664,-123.829,8.329,
"tanhdot",1,10,-0.6,0.471,0.461,430,-6949.608,8.533,
"tanhdot",0.1,10,-0.6,0.461,0.461,462,-109.168,8.072,
"tanhdot",1,10,0,0.476,0.466,432,-6671.249,6.238,
"tanhdot",0.1,10,-1.8,0.462,0.466,454,-116.031,9.77,
"tanhdot",1000,10,0.6,0.478,0.469,428,-6027349571.612,8.626,
"tanhdot",1,10,0.6,0.478,0.471,428,-6454.922,7.013,
"tanhdot",1,10,-1.2,0.459,0.471,426,-7312.233,6.139,
"tanhdot",100,10,0.6,0.478,0.473,428,-60312015.716,6.828,
"tanhdot",0.1,10,2.4,0.476,0.475,476,-97.892,9.34,
"tanhdot",10,10,2.4,0.475,0.475,426,-538827.856,8.634,
"tanhdot",10000,10,0.6,0.478,0.476,428,-602696437161.237,6.088,
"tanhdot",100,10,2.4,0.475,0.476,426,-53499385.588,8.874,
"tanhdot",10,10,0.6,0.478,0.476,428,-606972.157,6.997,
"tanhdot",1000,10,2.4,0.475,0.477,426,-5346104558.767,6.179,
"tanhdot",1,10,1.8,0.478,0.477,432,-5946.243,9.266,
"tanhdot",10000,1,0.6,0.449,0.477,406,-351541514204.094,11.668,
"tanhdot",10000,10,2.4,0.475,0.477,426,-534572115876.685,8.32,
"tanhdot",100,10,0,0.477,0.478,428,-62467649.779,6.825,
"tanhdot",1,10,2.4,0.475,0.478,430,-5772.704,6.797,
"tanhdot",100000,10,2.4,0.475,0.478,426,-53456828187668.5,6.667,
"tanhdot",10,10,1.2,0.48,0.479,432,-582815.381,6.535,
"tanhdot",0.1,10,1.2,0.495,0.479,664,-118.341,6.955,
"tanhdot",10000,10,1.8,0.48,0.48,428,-552199703559.844,9.084,
"tanhdot",1,10,1.2,0.481,0.481,432,-6216.954,6.524,
"tanhdot",10000,10,1.2,0.483,0.481,430,-578509078702.556,5.743,
"tanhdot",100,10,1.2,0.483,0.481,430,-57893477.87,8.762,
"tanhdot",100,10,1.8,0.48,0.491,428,-55262342.356,7.674,
"tanhdot",1000,10,1.2,0.483,0.492,430,-5785477787.026,9.732,
"tanhdot",0.1,10,1.8,0.485,0.493,472,-99.98,9.049,
"tanhdot",1000,10,1.8,0.48,0.497,428,-5522382235.598,10.848,
"tanhdot",100000,10,1.8,0.48,0.5,428,-55219585155984.4,10.849,
"tanhdot",10,10,0,0.477,0.508,428,-628528.498,6.66,
"tanhdot",100,1,0.6,0.449,0.548,406,-35194232.272,12.813,
"tanhdot",0.1,1,-0.6,0.562,0.562,574,-120.286,10.763,
"tanhdot",0.1,1,-1.2,0.563,0.562,534,-138.887,10.093,
"tanhdot",100,10,-1.2,0.434,0.575,400,-68659959.773,11.212,
"tanhdot",100,1,0,0.414,0.576,370,-47459656.423,12.576,
"tanhdot",100,10,-0.6,0.46,0.578,424,-65354907.639,10.405,
"tanhdot",10,10,1.8,0.48,0.584,428,-556475.424,10.639,
"tanhdot",10,10,-1.2,0.434,0.592,400,-690199.598,7.201,
"tanhdot",100000,10,1.2,0.483,0.644,430,-57850520870255.7,8.387,
"tanhdot",100000,10,0.6,0.478,0.658,428,-60269258516123.5,8.787,
