"kernel","C","p1","p2","error","cross","numSV","obj_f","time.elapsed","real_error"
"polydot",0.1,2,1,0.137,0.18,372,-27.922,9.113,
"polydot",10,1,1,0.165,0.18,376,-3263.253,19.149,
"tanhdot",100000,0.0001,0.6,0.166,0.181,361,-33835802.98,15.552,
"rbfdot",10,0.1,,0.13,0.183,402,-2611.407,10.348,
"tanhdot",10000,0.01,-2.4,0.149,0.183,365,-2845709.673,11.202,
"tanhdot",10,0.01,-1.2,0.176,0.183,438,-3838.576,7.9,
"tanhdot",10000,0.001,0,0.165,0.184,365,-3285626.575,47.055,
"tanhdot",10000,0.01,-1.2,0.121,0.185,366,-2458781.447,43.471,
"tanhdot",100000,0.001,-0.6,0.144,0.185,365,-28019556.323,113.277,
"rbfdot",1000,0.01,,0.123,0.185,386,-252561.604,20.904,
"tanhdot",100000,0.01,-2.4,0.119,0.186,366,-23912281.563,46.647,0.804
"tanhdot",100000,0.00001,2.4,0.184,0.187,437,-39826925.414,7.879,
"tanhdot",10000,0.01,-1.8,0.134,0.188,371,-2649992.298,25.617,
"tanhdot",0.1,0.1,-1.2,0.181,0.188,630,-51.13,13.178,
"rbfdot",100000,0.001,,0.126,0.188,377,-25277820.554,282.113,
"polydot",1,2,1,0.117,0.19,356,-227.827,27.798,
"polydot",1,2,0,0.117,0.191,358,-228.786,15.765,
"tanhdot",10000,0.0001,2.4,0.187,0.193,439,-3951941.372,10.203,
"tanhdot",100000,0.00001,-2.4,0.19,0.194,434,-40116760.205,7.344,
"tanhdot",1000,0.001,2.4,0.189,0.194,440,-397428.013,11.815,
"tanhdot",100000,0.01,-1.8,0.113,0.194,361,-21911296.44,64.644,
"tanhdot",1000,0.001,-2.4,0.19,0.195,439,-393136.337,7.873,
"tanhdot",10000,0.0001,-2.4,0.189,0.195,437,-3951575.786,7.812,
"rbfdot",1,0.01,,0.185,0.195,473,-405.863,10.938,
"tanhdot",10000,0.00001,2.4,0.194,0.196,687,-5683369.869,13.679,
"tanhdot",1000,0.00001,-1.2,0.194,0.196,685,-575605.962,13.753,
"tanhdot",100,0.001,-2.4,0.194,0.196,683,-56769.196,13.535,
"tanhdot",10000,0.00001,-1.2,0.187,0.196,440,-3967861.661,10.435,
"tanhdot",10,0.001,-1.2,0.194,0.196,686,-5745.827,14.28,
